appid,title,price,description,genres,publisher
3320200,Kaal Yoddha,,"Kaal Yoddha is an action-adventure game steeped in the mythic heritage of ancient India. Step into the role of Prince Avyaan, a skilled warrior driven by curiosity and valor, as he answers a mysterious plea for help from a remote island besieged by a terrifying curse.","Action, Adventure, Indie, Free To Play",Treta Studios
3320210,Maid Cafe on Electric Street Soundtrack,3.99,This is the Maid Cafe on Electric Street Soundtrack.,Unknown,PLAYISM
3320220,Bat Blast! Soundtrack,,"Bat Blast! Original Game Soundtrack. 34 tracks of retro, dungeon-y, craziness.",Free To Play,Cyan Sundae
3320260,Mechanic Supermarket Simulator,,"Gear up and take the wheel in Mechanic Supermarket Simulator! Build, manage, and expand your very own automotive retail empire. From stocking shelves with cutting-edge car parts to mastering market trends, can you create the ultimate one-stop shop for car enthusiasts?","Indie, Simulation",Midnight Games
3320270,Chertovica,,"All the cherts are getting married tonight, on a night called Chertovica. Grab your axe, chug down your last tankard, and kick them back to hell where they belong in this retro, melee-centric boomer shooter.","Action, Indie",Jester's Tales
3320290,DreamlessGirl - Skin Pack Rose-Hued Uniforms,2.69,"Doctor, Nurse, or Patient?Join the girls' doctor game now💉——The Rose-Hued Uniforms Character Skin Expansion Pack is officially released, available for purchase!","Action, Adventure, Casual, Indie, RPG",LoveStoryProject
3320310,Escape the Laser Trap,,"Step into deadly corridors filled with laser traps, relentless robots, and a terrifying alien humanoid. Dodge lasers, shoot robots, deactivate traps or use them to fight enemies. Explore the maze, find clues and escape.","Action, Indie",AB Games
3320320,次元沙漏的棋盘 Dimensional Racing Board,,It is a turn-based board fantasy role-playing game. You play as heroes from different dimensions to race against your friends on the board to see who reaches the finish line first. The rule is easy. The player who crosses the finish line first wins.,"Casual, Indie, RPG, Strategy",沙漏与门工作室Hourglass&Gate Studio
3320330,Cursed Baby,3.99,"The once #1 horror game on the Horror list of Itch is back! Join now and use a variety of repair tools to experience life as a handyman in a haunted house, uncover the terrifying past of this old house and face the terrifying demon baby head-on!","Adventure, Indie",Yahaha Studios
3320340,Nomadic Tale (Harvest Elysium),19.99,"Nomadic Tale is a 3D action-adventure game where you play as a backpacker working in orchards and mines. Explore maze-like fields, gather resources, and complete seasonal missions. Meet unique heroines each season, deepening your story. Enjoy nighttime events filled with romance and adventure!","Action, Indie, RPG",XXIV
3320350,Mother Machine Demo,,"Climb, jump, and explore alien caves full of emergent surprises in this 1-4 player co-op action-rpg platformer. Customize your cute chaos gremlin with a never-ending appetite for adventure &amp; mayhem! Unlock a vast range of mutations to choose your preferred playstyle and role in a group.","Action, Adventure, Indie",Maschinen-Mensch
3320360,The Patient - Prologue Playtest,,,Unknown,Unknown
3320370,Little Adventure Tale,,Little Adventure tale is a Roguelike Deckbuilder set in a cute fantasy world where you can enlist the help of the Guild to Hire companions and manage several Card Decks &amp; Accept Quests to earn more rewards! All this in order to banish the Evil Lord Obradin!,"Casual, Indie, RPG, Strategy",TheOilyGooseStudio
3320380,Hangul Typing Tale,9.99,Learning to type Korean 한글 from ZERO!,"Casual, Indie",Vit Corp.
3320390,Slug's Sister Defense,3.98,"A spin-off from the asymmetric party action game &quot;Goonya Monster,&quot; with character designs by Terada Tera! Experience exhilarating roguelike tower-defense action! Defend the captive Snail from enemies approaching from all directions by acquiring and upgrading a variety of weapons and gear!","Casual, Indie, Early Access",MUTAN
3320400,Holdfast: Nations At War - Blackpowder Firearms,7.99,"With valour and glory, march onto the battlefields of Holdfast with a brand new selection of firearms.","Action, Indie, Massively Multiplayer, RPG, Simulation, Strategy",Unknown
3320440,CannonHead,,"CannonHead is a third-person action shooter inspired by 1920s and 1930s animations. Explore unique worlds, recruit companions, and discover new weapons to face powerful enemies.",Action,R3D
3320460,NWO - Anarchy Collapsed Demo,,"New World Order: Anarchy CollapsedThe world is divided. The enemy is coming. Only one leader will rise.In a world on the brink of destruction, power is everything. NWO: Anarchy Collapsed is a grand strategy game fused with idle mechanics, where every second counts.",Unknown,SIA KNK DEVELOP
3320480,All Will Fall Playtest,,,Unknown,Unknown
3320490,Row Hard,,"Paddles, splashing of water and hard racing. Build your team, coach, mentor and lead them through tough choices to Olympic gold. Learn the price of victory! Deep story with resource management and rhythm sports races. What are you willing to sacrifice to win?","Indie, Racing, Simulation, Sports, Strategy",Surreal Overflow
3320510,Lines of Balls,4.99,"Remove the balls from the field by making lines. Make lines of five or more balls of the same color. The more balls in a line, the more points you get.","Casual, Indie",Taranau Aliaksei
3320520,cat lines,2.79,Control a cute kitten that leaves a trail of yarn behind! Solve puzzles by covering all the blocks with the yarn line. A relaxing and challenging game for cat lovers!,"Casual, Indie",Tribus Games Indie
3320530,ととのいシミュレーター,2.99,"The Totoi simulator is a simulator to feel “Totoi” by slowly soaking in a hot spring, taking a sauna, or bathing in a water bath, The Totoi Simulator is a simulator that allows you to feel “Totoi” by slowly soaking in a hot spring, taking a sauna, or taking a water bath.","Indie, Simulation",Crush-vAdin
3320540,Run Pizza Run 2,,"Online pizza delivery simulator! Deliver pizzas, compete with friends, and conquer a chaotic online world full of obstacles and unexpected challenges. New maps, modes, and tons of fun await you! Ready to become the best delivery driver? Embrace the chaos!","Action, Adventure, Indie, Massively Multiplayer, Simulation",IZI Games
3320560,BattleHeights Playtest,,,Unknown,Unknown
3320590,Vampire Therapist - Couples Therapy,2.99,"You've helped the immortal undead live with themselves, but can you help them live with one another? Can vampires find domestic bliss? You'll need all your therapy skills to handle this couple in this expansion to the award-winning Vampire Therapist!","Indie, Simulation",Unknown
3320600,In The Night You Had Bad Dreams,,"In the Night You Had Bad Dreams is a first-person horror game. You're trapped inside a strange house that seems to shift and change, waiting for you to solve unconventional puzzles. ","Indie, Free To Play",ENAB-f
3320650,Alaloth - Champions of The Four Kingdoms - Ultimate Pack,14.99,Alaloth: Champions of The Four Kingdoms - ULTIMATE PACK,"Action, Adventure, Indie, RPG, Strategy",Gamera Interactive
3319700,新世界：暗影成双,,这是一款双人合作类的互动影游。1941年的上海沦为孤岛，你们一位扮演军统特工，一位扮演钱庄商人，共同卷入一场金融血案。信任和猜忌，合作与背叛。你们的选择将共同影响故事走向，一起开启专属你们的民国冒险。,"Adventure, Casual, Indie, RPG",ALT Lab
3319710,CybArena,4.99,"CybArena is a wave-based survival game set in a gritty cyberpunk dystopia. Battle endless waves of enemies, harness powerful perks and power-ups, and see how long you can endure. How far will you go?",Action,Cojokero Games
3319720,Kernel,,"In the universe billions of years later, life no longer exists. The adventurer Kamus travels to the unknown star realm as a hope to break the deadlock, exploring the ultimate destiny of the soul through battle and conquest.","Indie, Strategy",ArchZoDo
3319730,Purrfect Chatter 喵语心扉,,"This is a simulation game. After running the game, it will create an overlay on your desktop that could be moved using your mouse. After right-clicking on the overlay, users can open a new dialogue window, chat with the catgirl and listen to her voice.","Casual, Free To Play",MUMU Developer Studio
3319740,Learn Japanese Kana & Vocab with Sushi,,"Learn Japanese With Sushi is a edutainment game that teaches Japanese through sushi-themed mini-games. Practice katakana, hiragana, and vocabulary—including kanji—by matching, typing, and sorting sushi. Unlock new words via gachapon, customize JLPT levels (N5-N3), and enjoy a pixel-art sushi bar!",Indie,The Farting Cat
3319750,Mati,4.99,"Explore the quiet forest of Suverdale in the third person as Mati (or Matine), a 12-year-old kid visiting his grandparents on his summer vacation. In this relaxing walking simulator, try to discover the mysteries behind Suverdale's history, but expect a surprise or two.","Adventure, Casual, Indie",Germanium HQ eU
3319760,The Hundred Line -Last Defense Academy- Artbook,69.99,"&quot;This is a digital art book of ”The Hundred Line -Last Defense Academy-”. It features character setting materials, concept art/image boards created at the beginning of development, and comments from the creators!&quot;","Adventure, Simulation",Aniplex Inc.
3319770,Deluge: Threnody of Crashing Waves — Ina After Story,5.39,An After Story DLC bonus chapter for Ina's character route.,"Adventure, Indie, Free To Play",socah
3319780,Encounter,9.99,"Your mission, locate and free a kidnapped teenager in less than two hours. Use your Private Investigator instincts and skills to explore the area, craft items to get rid of obstacles by entering text commands.","Adventure, Casual",Defence Force
3319790,Tactical Domination: Operation Veranite,,Command one of three distinct factions in a fierce battle for the enigmatic resource Veranite. Utilize powerful units and strategic abilities to vie for complete supremacy. The destiny of the future lies in your hands.,Strategy,"R1ckhy, Digitalomon"
3319830,The Black Knight Chronicles: The Widow without Time - Crossroads,2.99,Crossover Story with &quot;Untold Tales of Citadale&quot;.,"Indie, RPG",Plug In Digital
3319880,DYNASTY WARRIORS: ORIGINS - Official Book & Original Soundtrack (Digital Edition),19.99,A digital art book containing the Official Book (Japanese) &amp; Original Soundtrack,"Action, RPG, Strategy","KOEI TECMO GAMES CO., LTD."
3319940,DYNASTY WARRIORS: ORIGINS - ICHIRAN Noodles,,"The portable item &quot;ICHIRAN Noodles,&quot; obtained from the Shop.","Action, RPG, Strategy, Free To Play","KOEI TECMO GAMES CO., LTD."
3319960,One Tap Roulette,,"One Tap Roulette is a 1v1 multiplayer survival game of Russian roulette where every shot counts. Challenge your friends or face the world, climb the global leaderboard, outlive your oponent, but be careful : death is permanent. Are you taking the shot?","Casual, Simulation, Strategy",Demon Max
3319980,"The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria-",57.99,"The latest installment in the popular story-driven Kiseki RPG series is here! The 20th-anniversary title, The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria-, where the epic story of the continent of Zemuria takes a dramatic turn, is now available on Steam®!",RPG,Clouded Leopard Entertainment
3319990,Pocket Legend Demo,,Inventory Rogue-like Deckbuilding Game,Strategy,Shading Box
3320000,TailScape: The corgi’s Advendture,,Tailscape is a Metroidvania game starring a cute puppy. Solve hidden puzzles and sometimes face large enemies to fill in the story of the bond between humans and animals.,"Adventure, Indie",NE159 Games
3320020,Cats With Standards,,"A grotesque fever dream where cats claw through filth for bones, whisper lies to mirrors, and beg for approval from a society that purrs perfection but reeks of decay. Obey, smile, repeat—until the lines between rule and ruin blur, and you’re left meowing into the void.","Adventure, Casual, Indie",Jestercraft
3320030,Angel Legion-DLC Anubis,,"Embark on your adventure with player from all over the world! Lead your Angel team to reveal the ancient mysteries of Galaxy…… Welcome to Angel legion, a free RPG gacha game with good fun!","Adventure, Casual, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play",Shanghai SilverMoon Network Technology Co.Ltd
3320070,Progress Knight: Multiplayer,,"An incremental multiplayer, PvP idle game","Indie, Massively Multiplayer, RPG, Strategy, Free To Play",Gawwak
3320100,Drowned God: Conspiracy of the Ages.,10.99,"The original 90's Myst style Adventure Game featuring pre rendered graphics, intricate puzzle solving and step through exploration, preserved exactly as it was first released in 1996 but without the bugs! 'Extras' include the original pitch document, pre production art and loads more.",Adventure,Next Path Media
3320120,CRYSTAR Sakuzyo Complete Soundtrack,29.99,CRYSTAR Sakuzyo Complete Soundtrack,Unknown,"Spike Chunsoft Co., Ltd."
3320130,Sister Z Hypnosis - art collection -,3.99,It would be interesting to compare it with the CG used in the game.,"Adventure, Casual",PRODUCTION PENCIL
3320140,The Last Awen,,"Explore and protect the endangered forest as Fae, the last guardian. Face enemies, solve puzzles, and uncover hidden secrets in a challenging 2.5D metroidvania. The Last Awen combines action and exploration in a captivating visual experience.","Action, Adventure, Indie",Instinto Studios
3320150,Angel Legion-DLC Summer Love D,,"Embark on your adventure with player from all over the world! Lead your Angel team to reveal the ancient mysteries of Galaxy…… Welcome to Angel legion, a free RPG gacha game with good fun!","Adventure, Casual, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play",Shanghai SilverMoon Network Technology Co.Ltd
3320170,Rift Riff Playtest,,,Unknown,Unknown
3319200,Tavern Legends Demo,,,Unknown,CROWFORGE Games
3319220,Starseed Soundtrack,,The Soundtrack for Starseed,Unknown,heartsynth
3319230,Pizza Simulator Together,,"Pizza Simulator is a cooperative simulator where you manage a pizzeria, set up the kitchen, hire staff, prepare and deliver orders, and maintain the reputation and cleanliness of your establishment. Create your dream pizzeria!","Casual, Indie, Simulation, Strategy",Exbyte Studios
3319240,Kingsguard,,"Lead your kingdom to victory! By day, you build and prepare your kingdom for impending threats. But every night, you must defend your kingdom against hordes of monsters, by commanding soldiers, building turrets, and fighting on the battleground yourself.","Action, Strategy",Partum Games
3319250,Shoes Store Simulator,,"Are you ready to outshine competitors? Order shoes, stock them on shelves, assist customers in finding the perfect shoes, and handle payments. Hire staff, design your store, and expand it step by step. Build the best shoe store, and enjoy the exciting journey. There’s so much waiting for you!","Casual, Indie, Simulation, Early Access",Ox Games
3319270,Armada: Last Light,,"Command a fleet of customizable ships in this roguelite strategy autobattler. Liberate planets to unlock new ships and powerful upgrades. Engage in strategic battles, manage your fleet, and face escalating challenges as you fight to free the universe through increasingly difficult galaxies.","Indie, Simulation, Strategy",Brock Pivirotto
3319290,USA Nature's Trails Jigsaw Edition,0.99,Step into the captivating world of &quot;USA Nature's Trails Jigsaw Edition&quot; a puzzle journey that combines the thrill of piecing together intricate puzzles with the breathtaking beauty of America's diverse landscapes.,"Casual, Indie, Strategy",Boogygames Studios
3319300,Supurr Cat Cafe: Sandwich Rush - Supporter Pack,2.99,"The best way to support us, the nerdy developers. As a thank you, enjoy a new royal cat cosmetic!","Casual, Indie",2 Nerdy Nerds
3319330,Makis Adventure: Level Editor,,"Build your own Dungeons, share them with the Community and play Dungeons made by the community. This is the official Level Editor for the 2D Action-Platformer Makis Adventure!","Action, Adventure, Casual, Indie, Free To Play",Zoroarts
3319350,Realm's Crossing - Tilt Five Edition,,"Realm's Crossing is a turn-based strategy tabletop game. Victory can be achieved in multiple ways so whatever your playstyle is, you will have a good time. Balance between controlling your hero and army, expanding your base, controlling supply paths and training new troops to optimize your strategy.","Indie, Strategy, Free To Play",Lazerbrazier Studios
3319360,The Doors That Led to Nowhere Soundtrack,2.99,The official soundtrack of The Doors That Led to Nowhere scored by Solomon Capri.,Unknown,SoloCap Games
3319370,CABALL: sunset hour,,"Veronica has made a deal with a strange being, and now every shadow seems to follow her with its gaze. Or is it all merely an illusion?","Casual, Indie",BRXKENVN
3319410,Cecil Hollow Demo,,,Unknown,"Immortal, Inc"
3319430,Moonshadows Soundtrack,6.89,"Created and composed by Sight Telma Club, the Moonshadows Ambient Soundtrack includes 9 of the ambient synthwave tracks featured in Moonshadows + 1 bonus track! Listen to the music of the forest as it unravels for you.",Unknown,Unknown
3319460,Comical Sara,,"This is a roguelite FPS where you can shoot without reloading! Destroy hordes of aliens as Sara, an energetic engineer.",Action,KurokumaSoft
3319510,Jet Fighters with Friends 4,0.99,"Jet Fighters with Friends 4 - UFOs are attacking Hong Kong, Go get 'em! Single Player OR Multiplayer Jet Fighter Game with A.I. UFO Bots. PvP or COOP.","Casual, Indie, Simulation",Archor Games
3319520,Noir Bunker Demo,,"An isometric pixel art puzzle-thriller. game set in a cold, desolate bunker. Your goal: find her. This dark journey will test your senses and push the limits of your mind and soul as you navigate eerie corridors. Each step brings you closer to uncovering the truth in a world filled with shadows.",Unknown,Stak Games
3319530,CineSim Demo,,"CineSim let you explore media production in an immersive 3D environment. Master cinematic skills like Lighting Design and Cinematography. Create your own scenes, practice filmmaking techniques . Perfect for students or anyone curious about movie-making!","Casual, Simulation, Free To Play, Education, Software Training, Video Production",CineSim
3319540,Painted Shores Demo,,"Explore the Caribbean in our story driven open-world FPS adventure game inspired by Firewatch and Outer Banks! Battle pirates, uncover treasures, and solve puzzles in this action-packed adventure. Try our free 30-minute demo and start your Caribbean journey today!","Action, Adventure, Casual, Indie, Strategy",Concept Interactive
3319570,Savage Arena: Dead Ball Zone,5.89,"Savage Arena: Dead Ball Zone is a futuristic all-out action sports game, which seamlessly combines frenetic sporting action, brutal special moves, and quick draw weaponry to deliver addictive, balls-out arcade style gameplay.",Sports,Funbox Media Ltd
3319580,Catechumen,9.75,"171 A.D., a great evil lurks in the shadows of ancient Rome. Face demons and beasts of unspeakable horror. Follow your divine quest through the catacombs and unravel an engrossing tale that tests you against the profane and unholy, stepping into the legacy of a Guardian of Truth.","Action, Adventure",N'Lightning Software Development
3319590,Ominous Horizons: A Paladin's Calling,9.75,"It falls to you, a noble Paladin, to undertake the quest to retrieve the Gutenberg Bible, that was stolen, and to keep the darkness at bay.","Action, Adventure",N'Lightning Software Development
3319620,潮痕 Tideline,,"Tide Line is a pixel/lo-fi style top-down ARPG that focuses on exploration, puzzle-solving, and combat, all while immersing you in its world.You wake up in an unfamiliar waterway, with no sign of the exploration team that was with you. What happened here?","Action, Adventure, Indie, RPG",Anotherindie
3319630,LIGHT OF MOTIRAM,,"In a world overrun by colossal machines, explore the vast open world, build your base of operations, advance technology, train Mechanimals, and take on formidable bosses. Starting from the primitive age, forge a new path of development. Defy the machination, survive with mechanimals.","Action, Adventure, Free To Play",POLARIS QUEST
3319640,SWORD ART ONLINE Fractured Daydream DEMO,,"Select your character and choose between two modes to try in the SWORD ART ONLINE Fractured Daydream DEMO, Boss Raid or Co-op Quest!","Action, Casual, RPG",Bandai Namco Entertainment
3319650,The Berenstain Bears In the Dark,9.75,"Explore and share Stan &amp; Jan Berenstain’s classic, &quot;The Berenstain Bears In the Dark&quot;, adapted from the original storybook into an interactive animated adventure!",Casual,ZOOM Platform Media
3319660,The Berenstain Bears Get in a Fight,9.75,"Explore and share Stan &amp; Jan Berenstain’s classic, &quot;The Berenstain Bears Get in a Fight&quot;, adapted from the original storybook into an interactive animated adventure!","Adventure, Casual",ZOOM Platform Media
3319670,Rewrite the Last Days,,"You were killed in the zombie crisis. Now, you’re reborn. Your food supply is tied to Phoenix Port’s survivors. Armed with a computer and past-life memories, can you earn money and stockpile goods before the apocalypse? Can you build a refuge, become the apocalypse king,and save Phoenix Port?","Adventure, Indie, RPG, Simulation, Strategy",iFAction Studio
3318700,Hotwife Jasmine,,"Jasmine's husband (you, the player) do your best to convince her to become a Hotwife. She is very shy at first, but as you convince her to explore further, she totally embraces her new lifestyle.","Casual, Indie, Strategy",Stan Prentice
3318720,Lythe The Forgetful Witch: A Visual Novel,,"Guide Lythe, a naïve witch on a journey through the spooky world of Samhain, as she seeks the High Witch and rediscovers her magic. This visual novel features spell crafting, rune seeking, and memory game mechanics, all while unraveling the desires of her monstrous friends!","Adventure, Indie, Free To Play",Siren Sigil Studios
3318730,Anomalies Detective,2.99,"A psychological horror game with a chapter-based plot, thriller and unusual elements! You are a novice paranormal detective, exploring secrets and finding ways to escape in an infinite loop of scenes. Many unusual things happen during this process, as if some strange force wants to devour you...",Indie,ChenGame
3318740,Green Heights Demo,,,Unknown,Samuel Dufour
3318760,アネモネ / Anemone,3.99,This is a board game set in the fictional Japanese city of &quot;Neverland.&quot; Enjoy local multiplayer with simple mouse-based controls. Original music and an unusual world await you.,"Indie, Simulation",Sub:06
3318790,Ecliptic Demo,,,Unknown,Made with Cookies
3318810,Heavenly Way Legend,6.89,"“Heavenly Way Legend” is a casual game set against the backdrop of Chinese xianxia. You will play as a cultivator, cultivating, fighting, exploring, and having fun in various spaces.","Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",SHE CHUANGFENG
3318830,Honu,,"Honu is a first-person puzzle game set in a story-rich, stylized world filled with magitech and charming characters. Developed by H-BRS DevTeam—a German hobbyist game development team supported by Hochschule Bonn-Rhein-Sieg.","Casual, Indie, Free To Play",H-BRS GameDev
3318840,One More Plate Demo,,,Unknown,Chromatic Dream
3318850,Brass Demo,,"As the player, you take on the role of Brass, delivering letters and packages while interacting with the villagers. One day, a letter from his grandma sets Brass off on a new adventure. With relaxing, story-driven gameplay and adorable low-poly art, Brass offers a cozy and heartwarming experience.",Unknown,Seaknot Studios
3318870,AI Interrogation Simulator,,"Are you ready to live out your dream as an interrogator? In AI Interrogation Simulator, you take on any character you want and perform the role of the investigator. Through skillful interrogation, you will uncover the truth behind a wide variety of mysterious crimes.","Casual, Indie, Simulation, Early Access",Arbonix
3318900,The Day the World Stopped Demo,,"The Day the World Stopped is a turn based RPG with a few added mechanics to help spice up the genre. Including, timed attacks, burst combos, multiple puzzles, four playable characters, and more!",Unknown,Special Deffects
3318940,Rocket Boots Mania: Space Train,,"Rocket Boots Mania: Space Train is a 100% free endless runner with a twist—you’re in full control. Rocket-Jump, Wall-Run, and Fly to rescue lost cargo on a speeding space train. Race through the galaxy or relax with the chill vibes of vast space vistas.","Action, Casual, Sports, Free To Play",Contra Concept
3318950,The Mirror's Curse,1.99,"The Mirror's Curse is a first-person escape-room puzzle game with a mysterious, action-packed twist. Trapped in limbo — a distorted version of your own home — you must solve intricate mirror puzzles, navigate maze-like rooms, and outsmart vengeful spirits to break free","Action, Adventure, Indie, Simulation",Pavlo Petrov
3319000,Aggrolotls,,Aggrolotls is a top-down arena roguelike where you play as tiny axolotls and must evolve into a swarm that can take on powerful creatures from the sea. Level up and choose from upgrades that make each round feel unique.,"Action, Early Access",Game Magicians
3319040,Bubblesinker,2.99,Bubblesinker is an underwater roguelite shooter where you must survive fish schools' attacks and battle against gigantic sea creatures. Unlock new characters with unique weapons and hook up helpful companions to help you in your watery crusade.,Action,Punchito
3319050,Perino Candy Buster,7.0,"Dive into the vibrant world of Perino Candy Buster, an action-packed arcade game that combines classic Block Breaker gameplay with a delightful twist! Join Porino and friends on a whimsical adventure filled with colorful graphics, engaging stories, and competitive local multiplayer.",Casual,RivalThird
3319060,Automatica Demo,,"Automatica is a 2D automation and management game inspired by titles like Factorio and Shapez, but with a twist on the traditional conveyor belt system. Connecting buildings is now as easy as dragging them inside each other",Unknown,Strawberry Dev
3319070,My  clinical death,0.99,A short visual novel about a girl who experiences a clinical death.,"Casual, Indie",Mystael studio
3319100,Graveyard Caretaker,7.99,A third person shooter and tower defence game.,"Action, Casual, Indie, Early Access",JudoChopped Studios
3319110,Lips Breaker Playtest,,,Unknown,Unknown
3319120,Don't Play This,,"Five scary stories, but they all have the same ending. Can you play it?  A psychological horror game from the first person, which few will pass.","Adventure, Indie, Simulation",Admia
3319140,Purge Phalanx,,Unleash heavy weaponry to exterminate the demonic horde alone or up to 4 players online and/or in splitscreen,Action,Erebnyx Studio
3319170,DOCAAY Soundtrack,0.99,"Experience the Rock Sound of DOCAAY! This exclusive, high-energy rock track brings the dynamic world of the collectible card game straight to your ears. Perfect for fans – whether playing, relaxing, or rocking out. Warning: Highly addictive! Get it now and rock with DOCAAY!",Unknown,Unknown
3319180,53X Homecoming,12.99,"53x - Homecoming follows a young man who, after a year-long coma from a car accident that killed his father, awakens in a strange town. Now living with three unfamiliar women, he must uncover what happened and rebuild his life in this mysterious new world.","Adventure, Casual, Indie, RPG, Strategy",Agent 53X
3318210,Doomed Otaku,,"&quot;Real friends exist in the online world!&quot; The Doomed Otaku is a multi-ending adventure that follows a wandering 20-something otaku as they navigate both the real and cyber worlds, experiencing various events along the way.","Adventure, Indie, Simulation",KiwiSaurus
3318240,The Shadow Over Cyberspace - Shareware Donation,9.99,Donate to the developers in thanks for this free game release! Or don't. It's really your call.,"Casual, Indie, Free To Play",Fiction Factory Games
3318260,圆圆圆 Demo,,"This is a light turn based strategy game. Mild pigeon element, combining the characteristics of different heroes with the four seasons, and coordinating the yin and yang points brought by heroes to continuously defeat stronger enemies.","Casual, Strategy",克里斯工作室
3318310,New Battle of Shanghai Beachn DLC,1.99,"Friendship is friendship, history is history","Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",勿忘国耻
3318320,Musgro Farm - Demo,,"Plant crops, combine them into recipes, and distribute them for sale in this incremental factory game. Optimize your layouts and reinvest in your infrastructure to maximize your output. Gain experience to unlock new technologies and expand your ever-growing farm.",Unknown,Metal Games LLC
3318360,Odessa,,"A retired bodyguard has to team up with an astute bunny-girl to keep the hope of rescuing his soon-to-be wife, abducted by mysterious individuals. At the same time, a cult around a strange goddess is developing. How could the two things be related? And will he be able to see his beloved one again?","Indie, RPG",Aldorlea Games
3318380,Death By Chatter,,A 2D platformer rage game developed by Youtuber &quot;PinoPrime&quot; that is directly affected by your Twitch chat. Try to get to the top as your own chat sabotages you along the way! (Disclaimer: Game may cause rage even for epic gamers like me),"Adventure, Casual, Indie, Simulation, Free To Play",PinoPrime
3318390,卡牌小镇 Playtest,,,Unknown,Unknown
3318410,Trainz 2019 DLC - Pro Train: KCS F7 Loco Bundle,12.79,This is the F7A / B in KCS liveries. The locomotives support various advanced features like fuel consimption depending on your driving skills and they can even get dirty while you are driving with them.,Simulation,N3V Games
3318420,Trainz 2022 DLC - Pro Train: KCS F7 Loco Bundle,12.79,This is the F7A / B in KCS liveries. The locomotives support various advanced features like fuel consimption depending on your driving skills and they can even get dirty while you are driving with them.,Simulation,N3V Games
3318430,Trainz Plus DLC - Pro Train: KCS F7 Loco Bundle,12.79,This is the F7A / B in KCS liveries. The locomotives support various advanced features like fuel consimption depending on your driving skills and they can even get dirty while you are driving with them.,Simulation,N3V Games
