appid,title,price,description,genres,publisher
3318450,Havenlocked,,"Stranded in a strange tropical paradise, you must find a way to escape, but things may be deeper than they seem. Havenlocked is a 1bit top-down adventure focusing on item-based exploration of two intertwined worlds! Explore and uncover the many secrets of the haven and its abyss.","Adventure, RPG",Achromi
3318470,Re-Exit,2.99,"Welcome to Re-Exit, a psychological horror, spot the anomaly game that challenges your perception and attention to detail. Trapped in a temporal loop, your mission is to observe your surroundings carefully and report any anomalies.","Casual, Indie, Simulation",Nullworx
3318490,Bunker Constructor Simulator,,A simulator in which you have to build bunkers. Complete contracts from the city government and citizens to earn money to buy your own house and build your own protected underground bunker.,"Indie, Simulation, Early Access",AT Games Studio
3318500,Bad Summer,,"Welcome to Bear Ridge Summer Camp! Jenny Lewis is an awkward high school graduate working her first job as a camp counsellor. Help her navigate an exciting summer of making new friends, and finding her first love. But be wary! Not all is as it seems...",Indie,S&J Games
3318510,Aurora Heights,,"Aurora Heights is a combat-free, precision platformer, sprinked with metroidvania. Help Hoshi, a fallen star, ascend back to the heavens. Jump, climb, and dash to reach the top. Unlock new abilities, collect keys, discover secrets, and explore mysterious landscapes where other stars have failed.","Adventure, Indie",heypinds
3318520,Click Mage Playtest,,,Unknown,Unknown
3318540,TorchR Runners: Demastered Demo,,,Unknown,Salvage Cooperation
3318550,Countryballs Conquest,,"Lead your country through the Victorian age, expand your empire as you go head to head with the great powers of the world.","Indie, Simulation, Strategy",Indenial Games
3318560,He Maid Her Fall,,"He Maid Her Fall is a mother NTR full of both heartfelt and gut-wrenching moments. Follow both mother and son as their lives get turned upside down by selfish outsiders, fighting for their relationship to not get torn apart.","Casual, Early Access",Hangover Cat Purrroduction
3318570,Pavel Repin`s GUNFGTR Soundtrack,3.99,The soundtrack to the game GUNFGTR,Unknown,Repin Develop
3318580,Scrapworks Simulator,,"You start as a scrap collector in Scrapworks Simulator and work your way toward building a large production workshop. There’s an active trading system among players; you can sell your products to others, establish business partnerships, or take on custom orders.","Simulation, Early Access",Perg Valley
3318590,Super 3D Maze 16 Demo,,,Unknown,JD Video Game Productions
3318600,Chimp Memory Soundtrack,0.99,This package contains the soundtrack for Chimp Memory. We are making this soundtrack available as a way to support the game developers!,Unknown,Unknown
3318610,Liminal Void Soundtrack,9.75,"Liminal Void has ambient guitarscapes, brutal death metal, cutesy electronica, and harsh beats your homies wanna rap to. There is a lot of experimentation with breakcore and cloud in general. It is ethereal. It is esoteric. It is very mood. Much like the game, the soundtrack is its own thing.",Unknown,Jeistar
3318640,迷路会社 | Maze Company,1.26,"A short horror walking simulator where you just head from the workroom to the exit. Something may happen along the way, but don't worry, just keep going.Your goal is to return.","Action, Indie",Coward_Watson
3318670,Multiplayer Barbarians,0.99,"Multiplayer Barbarians - They attacked Your village, They killed Your family. Grab Your sword and Go get 'em! (Multiplayer or Single Player)","Action, Adventure, Casual, Indie, RPG",Archor Games
3318680,Radventure Demo,,"A sneak preview DEMO for the in development game &quot;Radventre&quot;. Ryle, a half-elf, is in search of the grave of Dwemmit, his old adventuring partner, in order to pee on it. That sentence used a lot of commas... is it grammatically correct? Probably not. Based on a true story that I made up.","Adventure, Indie, RPG",Noreasta Productions Llc
3318690,Sleeping: Counting Sheep Demo,,"The demo for Sleeping: Counting Sheep contains most of the functionality of the full game, However, twitch integration is limited to only the any message event and the optional Opt In Command with its spawn options",Unknown,Callial
3317710,Razorback,,"Razorback is a futuristic racing game inspired by Trackmania, featuring high-speed ship piloting with unique vertical engine mechanic and dynamic challenges. Compete in creative time-attack races for adrenaline-fueled fun!","Racing, Sports",Sol
3317720,AutoArena,,"AutoArena is a lineup-building auto-chess game. As a fortune-teller, use foresight to acquire divination cards and build your lineup. Engage in multiple rounds of battles against the traces of other fortune-tellers in the Stream of Memories, ultimately guiding yourself toward the right destiny!",Strategy,MoJo Game
3317740,Chroma,,Chroma is a solo third-person narrative platformer game where you play as an artist exploring her creativity by restoring color and bringing life back to the environment.,"Action, Adventure, Casual, Indie, Free To Play",ESMA - Ecoles Creatives
3317750,Super Star Shooter 16 Demo,,,Unknown,JD Video Game Productions
3317770,iScoot Demo: Scooter Sim,,Scooter sim,Unknown,"iScoot, LLC"
3317780,Dungeon Vending Machines,5.99,"Dungeon Vending Machines is a relaxing, casual idle game. Where you run vending machines in a dungeon! As adventurers brave dangerous depths, you’ll be their lifeline. Expand your machine lineup, grow your profits, and become the ultimate dungeon supplier!","Casual, Indie",OZ33 Lab
3317790,Mansion of the Dead Demo,,"Survival horror awaits. As Agent Kim, you’re drawn into a chilling mystery deep in the wilderness. Uncover hidden clues and face deadly threats at every turn. Will you escape, or vanish without a trace?","Adventure, Indie",Caicai Studio
3317810,The Dream Within Playtest,,,Unknown,Unknown
3317820,Planet Finder,0.49,"Earth is on the brink of collapse! Explore space, discover new planets, and gather vital resources to save humanity. No weapons, no wars—just you and the vastness of space. The future depends on you!","Casual, Indie, Simulation, Early Access",Artur Rezende
3317840,Dungeon Vending Machines Demo,,"Dungeon Vending Machines is a relaxing, casual idle game. Where you run vending machines in a dungeon! As adventurers brave dangerous depths, you’ll be their lifeline. Expand your machine lineup, grow your profits, and become the ultimate dungeon supplier!",Unknown,OZ33 Lab
3317860,Easy Japanese Hiragana Demo,,An introduction to learning Japanese hiragana. Start your journey and learn fifteen hiragana characters!,Unknown,Dr. Cyril Splutterworth
3317880,Intrusive Thoughts,2.0,A short story that turns everyday tasks into journeys. Can you be the voice that doesn’t let her down?,"Adventure, Casual, Indie",thatguyinashed
3317890,Project Search,,"Project Search is a visual novel of Chinese immortality cultivation. Scholar Qian Jiangmin investigates collapsed pagodas in Linhai's old town while searching for his missing brother. With the help of Daoist cultivators, he explores grotto-heavens and uncovers the truth behind his double vision.","Adventure, Indie, RPG, Free To Play",FSCHOOL
3317910,Heroes of Valor Playtest,,,Unknown,Unknown
3317920,Gordak,,"A savage exploration and survival game. Build and defend your village, grow your tribe and slay the undead lords to gain an audience with the god, Gordak, in order to lift the undead plague.","Action, Adventure, RPG, Strategy",Sphynx Softworks
3317930,Chosen of God,,"&quot;Chosen of God&quot; thrusts you into the heart of an ancient world, brutal and fraught with danger. You are David, a young shepherd destined to become king. Wield your weapons to face giants, ruthless warriors, and ferocious beasts.","Action, Adventure, RPG",Vision Expresiva
3317940,World of Unlit Soundtrack,1.49,This is the World of Unlit Soundtrack composed by CamelT,Unknown,Unknown
3317960,Evoscape,,Action Roguelike where you build your organism by dividing and placing cells. Pick from random mutations and specialize your cells in one of 11 genes. Test your organism in a fast paced melee- and ranged combat with timing-based parry system against enemies and bosses.,"Action, Indie",Magic Mill
3317970,7th Floor Demo,,,Unknown,IGT Games
3317990,Little Supermarket Tycoon Demo,,,Unknown,SwiftRoll
3318010,Devilish Temptation,7.99,"“Devilish Temptation” is a visual novel for adults. Naive but loyal guy Rob goes to purgatory to save his beloved. But the true test is not the murky depths, but seductive demonesses ready to capture his heart and... soul.","Action, Adventure, Simulation",Cicada_Dancing
3318040,Captain of the Guard Demo,,,Unknown,Summoner Studios LLC
3318070,Sorting Your Marbles Playtest,,,Unknown,Unknown
3318080,Grorb: Grow the Orb,,"Grorb: Grow the Orb is a minimalist incremental game. Gather resources, unlock upgrades, and expand your orb’s potential. Strategize, progress, and discover hidden synergies to push your sphere beyond all limits.","Action, Casual",Gooder Games
3318090,Evil Mana,20.0,"EvilMana is a real-time roguelite card battle RPG, where players can enjoy adventures and deck-building as they seek the “core of mana” that lies deep within a dark cavern!","Indie, RPG, Strategy",Eldritch Games
3318100,Pinchimono: The videogame,,,Unknown,Danielixmax
3318110,The Last Star Walker: Book One,,"The Last Star Walker is an adult visual novel where magic and technology collide. Navigate deep relationships, make tough choices, and immerse yourself in a world-changing conflict as a doppelgänger torn between two realms: Navā and Terra.","Action, Adventure, Indie",Veluxa
3318120,Underway (Remastered),13.0,"Seven years ago, Leo gets a request from his boss to come in to work late one night. When he gets there, his boss invites him to come up to his office. But Leo faces some obstacles trying to go upstairs, for something (or someone) is trying to stop him...","Adventure, Casual, Indie, RPG",Matt McGreevy
3318130,Schoolteacher Simulator Demo,,"Become a teacher in a local school. Demo version consists of first day, so checking presence of students, making exam, finding cheater, monitoring school hall and singing contest. You can explore school too.",Simulation,Eathrabaria
3318140,Workaholic Simulator: Leaving the Dream,,"Workaholic Simulator is a first person immersive psychological horror game. It's a short, disturbing and surreal experience about working in our contemporary world.","Adventure, Indie",Chocolatine Studio
3318180,New Battle of Shanghai Beach DLC,1.99,"This DLC contains the complete content of the game itself, as well as more gameplay options, and includes a full set of game strategies and bonus resources","Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",勿忘国耻
3317200,Unpatterned Cut Demo,,"Unpatterned Cut is a VR action-reflex game where you have to finish the episodes by killing enemies to survive in the simulation and maybe save your loved ones. Also, if you ambitious push yourself on scores and climb the leaderboard rankings against other players.",Action,Vnow Games
3317220,Weaveborn Heroes,2.99,"Survive relentless waves and take on powerful bosses every 5 levels! Weaveborn Heroes is a roguelike arena game where each victory brings you closer to becoming unstoppable. Level up, choose from unique spells and passive abilities, and build your hero to beat the final boss!","Action, Casual, Indie",Caio Goncalves
3317230,Killing Baby Hitler,,Stop fascism in the cradle—travel through time and hunt down history’s most evil infant in this satirical old-school FPS.,"Action, Indie",The Coffee Industrial Complex
3317340,Idle Sphere - Starter Pack,14.99,"Boost your Idle Sphere adventure with this exclusive Starter Pack! Enjoy faster progress with Sphere and EXP multipliers, enhanced automation, daily premium currency bonuses, and an extra 2000 Chaotics to power up your gameplay. Perfect for newcomers and seasoned players alike!","Casual, Indie, Simulation, Strategy, Free To Play",Unknown
3317350,Capacity,129.99,"This game immerses you in a magical town, where your character searches for hidden treasure chests amidst a maze-like environment.","Adventure, Strategy",Song Jun
3317360,Equality,149.99,"This game features a unique design where players use the mouse to control a red ball, rotating its position to safely drop it from platforms surrounding a cylinder.","Casual, Racing, Strategy",Song Jun
3317370,The last farewell,0.99,"This game is a hidden object puzzle that combines story, psychological horror and reality.","Action, Adventure, Indie",Zetsumi
3317390,魔法拾荒者,," &gt; is a light rogue-like spell-building looter extraction game. Players must scavenge valuable items on the map while constructing their own spells to fend off waves of enemies, ultimately escaping with their hard-earned loot.","Action, Adventure, Indie, RPG, Simulation",PaiPai_派派
3317400,Espionage Demo,,"The Espionage Demo is the prologue content of the main body Espionage. The story takes place in the background of World War II alternate history, you will play a spy deep into the enemy camp, in a series of revolutionary missions to face the test of life and death, morality and mission decisions....","Adventure, Indie",Edigger
3317450,Short Stories Whispers In The Walls,,"Follow in the footsteps of Detective John Palisnki, drawn to a small town after a tragic suicide. As he searches for answers, John encounters supernatural phenomena that challenge his understanding of reality. Unravel dark secrets and face your fears in a haunting atmosphere filled with mystery.","Action, Adventure, Indie",Risen Realms
3317460,The Otherworld Laboratory,,This is a walking simulation game in which you explore a looping laboratory.,Simulation,Zaki_san208
3317470,The Adventures of Bunny and Pig Demo,,"A dialogue-based narrative game with a psychological theme, telling the story of Pig’s journey to heal from emotional trauma, escape the control of monsters, and become a hero.",Unknown,Li Min
3317520,I am going for a beer,20.0,"You're just an ordinary guy, coming home after a long day. Beer in hand, TV on... but suddenly it runs out. Time to leave your cozy apartment, go down the stairs, cross the street, and get to the supermarket to find the best beer in the world. But isn’t this a strange dream? When will it end?","Adventure, Indie, Simulation",GHSPG
3317530,Knight's Night!,33.0,"Knight's Night! — is a retro-style 1-bit platformer. Collect items, unlock new abilities, and make your way into the evil wizard's castle to save the kingdom!","Action, Adventure",NipoBox Publishing
3317540,Thesaurus,66.0,Help Joan the warrior and her best friend Krista find peace and redemption in this RPG tale worth about 10-15 hours of playtime.,"Indie, RPG",Anima Games
3317550,War of the Old Gods,,"The country is on the brink of a new war, and Oriana and her brother are caught between that and their own personal safety. Orion will have to learn from his older sister how to properly use his powers, because he knows that ultimately, he won't be able to avoid doing so.","Indie, RPG",A Thousand Myths
3317560,Fated Thread,,"Young Dullahan will have to absorb all that his father ever taught him so that he and his companions can defeat the Grand Witches once more, before they bring the world to an end.","Indie, RPG",Valkyria Games
3317570,Hell Drill,,"Play solo or online co-op with up to 4 players. Descend into monster-infested caves with your crew, gathering resources while evading terrifying creatures. Gear up between expeditions as you drill deeper into increasingly dangerous depths.","Action, Adventure",LazyLoop Games
3317580,Soul Oath,,"Help Zeke on his quest to protect his hometown and live up to his lineage, as he will learn from love, pain, friendship, death and ultimately, life, in this classic RPG worth about 15 hours of playtime.","Indie, RPG",Anima Games
3317590,Jump Man,3.99,"Simple operation, full of challenges, come and play it.","Action, Adventure, Indie, Racing",GG.Game
3317630,Christine's Care,,"Christine cares for disabled Hannah while meeting free-spirited Marlon and Liz. Torn between them, she faces love and life-changing choices.","Adventure, Indie",Winter Wolves
3317640,Christine's Care Soundtrack,,This DLC contains the game original soundtrack in MP3 + Wallpapers with the game characters.,Unknown,Winter Wolves
3317650,无限骰子,4.19,"A text-based adventure game with a theme of another world, featuring a total of fifteen different endings and various plot branches. Players will play as an office worker named Li Zhaoyin, and have a series of love stories with Xie Yuan and Yun Qingchen,They will learn the truth and make choices.","Casual, RPG",百诡
3317660,Kaamos: Puzzle Roguelike,,Kaamos is a bite-sized turn-based puzzle roguelike where battles are fought by matching tiles on a grid with looping rows and columns. Build your character and deck of tiles by looting equipment from your foes. Traverse a dark medieval world where the Sun went down and never rose again.,"Adventure, Indie, RPG, Strategy",indie.io
3317680,광기의 함정(The Madness Trap Trek),3.99,"The Madness Trap Trek is a thrilling escape adventure where you must dodge deadly traps and make it out of the dungeon alive. Each stage challenges you with a unique path to freedom, filled with hidden dangers that will test your reflexes and strategy.","Action, Adventure, Casual, Indie",IlShim United
3316690,the travelers,,"the travelers is a 2d mmo and text-based adventure. explore a massive world full of worn cities and dusty buildings. discover items, build bases, engage in combat, or work together to solve the wasteland's hidden mystery.","Adventure, Casual, Indie, Massively Multiplayer",Gabriel Games LLC
3316700,The Horror,,"Become the ultimate manifestation of horror! This dark, action RPG fuses the strategic depth of classic ARPGs with the dread-filled atmosphere of 80s horror. Play as an iconic horror archetype as you carve through twisted landscapes, battling both the living and the dead in a world consumed by evil.","Action, RPG",Titan1Studios
3316720,Peachleaf Valley: Duke's Story (DLC),,"Peachleaf Valley: Duke's Story is the first DLC for Peachleaf Valley featuring Duke, The Doctor! It features the story and ability to romance Duke, the town's retired doctor turned innkeeper, and the heart behind The Grapevine Inn—a warm, welcoming haven in Peachleaf Valley.🌿🍷","Casual, Indie, Simulation",Unknown
3316740,Arcade Empire Tycoon Demo,,"Build and manage your own arcade, attract customers, and grow your empire in Arcade Empire Tycoon!",Unknown,Mind Inside Games
3316760,Peachleaf Valley: Eden's Story (DLC),,"Peachleaf Valley: Eden's Story is the second DLC for Peachleaf Valley featuring Eden, Spirit of The Land! It features the story and ability to romance Eden, The Lord of The Land, whose destiny is interwoven with fairies, folklore, and the hidden magic of Peachleaf Valley.🍃🌼","Casual, Indie, Simulation",Unknown
3316770,Peachleaf Valley: Tequa's Story (DLC),,"Peachleaf Valley: Tequa's Story is the third DLC for Peachleaf Valley featuring Tequa, Spirit of The Sea! It features the story and ability to romance Tequa, King of the Seas, whose fate carries the tides and centuries-old secrets of the underwater realm, Atlantis.🌊🐚","Casual, Indie, Simulation",Unknown
3316780,Peachleaf Valley: Arias's Story (DLC),,"Peachleaf Valley: Arias's Story is the fourth DLC for Peachleaf Valley featuring Arias, Spirit of The Skies! It features the story and ability to romance Arias, The Golden Tempest, whose real motives remain hidden beneath a cunning yet handsome smile. Can you tame the wind? ⚔️","Casual, Indie, Simulation",Unknown
3316790,Peachleaf Valley: Wedding Bells (DLC),,"Peachleaf Valley: Wedding Bells is a DLC expansion pack for Peachleaf Valley: Seeds of Love. This special expansion brings wedding-themed stories for each bachelor, allowing you to experience the magic, charm, and heartfelt emotions of tying the knot with your chosen love.💍","Casual, Indie, Simulation",Unknown
3316800,Idle Heroes Clicker,4.19,"Assemble a team of not-so-legendary heroes in Idle Heroes Clicker! Guide your quirky squad in epic idle battles, gain rewards even while offline, and unlock powerful upgrades. Strategize, fight, and grow your heroes from zeroes to legends in this adventure!","Casual, Indie, RPG, Simulation, Early Access",Hard Shark Games
3316820,Sky Baller Demo,,Single player only.,Unknown,Comic Orc
3316830,Queen's Revenge,,"Queen’s Revenge is a fast-paced tower defense game where you play as a fallen queen, betrayed and cast into darkness. Build defenses by day, fight relentless foes at night, and reclaim your throne. Every action counts—plan, battle, survive!","Action, Strategy",TTTStudio
3316840,Z Force Recon,4.99,Z-Force recon is a single player horror game. You're hired to work for a military company and tasked to complete 4 missions. There are weird creatures which are roaming around causing issues. Your task is to successfully complete these missions and escape unscathed. Are you up for the challenge?,"Action, Adventure, Indie",Bart Akkermans
3316860,Flag Builder Studio,66.0,"It's a flag making tool for all your vexillological needs! Flag Builder Studio lets you create and export your flag, to suit any creative project.","Design & Illustration, Utilities, Early Access",Māris Ozols
3316870,My Chandroid Sweetheart Demo,,,Unknown,WanderStudy Games
3316880,Central Bank,,"Take control of the most fearsome weapon known to mankind: the key interest rate. As head of the central bank, you wield the power to make (or break) nations. Raise it, and watch markets crumble and riots erupt. Lower it, and brace yourself for an economy so hot it could melt steel.","Indie, Simulation, Strategy, Early Access",Central Bank Game
3316920,TDS,,"A dystopian survival action game where you battle enemy factions, manage resources, and endure relentless waves of foes. Master Nanite-powered abilities, hone your equipment, and fight to survive in a fractured world on the brink of collapse.","Action, Indie, Free To Play",Copium Games LLC
3316930,Just Up,,"This game consists of reaching as high as possible, there are different levels and an infinite mode where you will see who is the king of the heights. You can jump infinitely as long as you don't touch the forbidden blocks that will nullify your power to jump and shoot.","Casual, Indie",WolfDev
3316960,Ashes of Morgravia,,"Ashes of Morgravia is a dark fantasy tactical deckbuilder where you move, strike, and adapt using dual decks to survive against necrotic horrors. Uncover lost divine secrets and fight for survival in a world swallowed by eternal night.","RPG, Strategy",background blur.
3316970,Kickoff Land!,,"Kick Off Land is a strategy game blending city-building and tower defense mechanics. Build a thriving city, unlock powerful cards, and protect your land from relentless threats. Lead as a new king and conquer chapters inspired by myths and legends from around the world!","Action, Casual, Indie, Strategy",Cliffbite Game
3317000,Blades of Crossed Hearts,,"An anime hack and slash fighting game. Seek vengeance, strike down your foes. Cut them down and set your heart free.","Action, Indie",Owen CMYK
3317010,UNCURSED Demo,,,Unknown,AJB GAMES STUDIO
3317030,Askas The Cronal Key Playtest,,,Unknown,Unknown
3317050,Black Light Kills Demo,,"Welcome to the darkness of the town, where you walk the fine line between reality and dreams, questioning your sanity. Black Light Kills takes you deep into the mind of Aiden, where reality fades, and nightmares begin","Action, Adventure, Indie",KnockDuck Games
3317060,Overwatch® 2: DPS Essentials Bundle,4.99,"Get 2 Epic Skins, 1 Legendary Skin, and 500 coins!","Action, Free To Play","Blizzard Entertainment, Inc."
3317070,Overwatch® 2: Tank Essentials Bundle,4.99,"Get 2 Epic Skins, 1 Legendary Skin, and 500 coins!","Action, Free To Play","Blizzard Entertainment, Inc."
3317080,Overwatch® 2: Support Essentials Bundle,4.99,"Get 2 Epic Skins, 1 Legendary Skin, and 500 coins!","Action, Free To Play","Blizzard Entertainment, Inc."
3317110,Am I Nima Demo,,Am I Nima is a psychological-horror game where you must convince your mom that you really are her daughter. Combine words together in your brain and use them to talk. Get her to trust you.,"Adventure, Indie",HO! Games
3317120,Radventure,,"Ryle, a half-elf, is in search of the grave of Dwemmit, his old adventuring partner, in order to pee on it. That sentence used a lot of commas... is it grammatically correct? Probably not. Based on a true story that I made up.","Adventure, Indie, RPG",Noreasta Productions Llc
3317140,Art Spotting Co-op,2.99,Art Spotting Co-op is a casual game about spotting the difference between several art pieces together with a friend while listening to relaxing music. A controller is not required for local co-op play.,"Casual, Indie",Musabiza
3317150,Tensor Playtest,,,Unknown,Unknown
3317160,Selfish Heroes Playtest,,,Unknown,Unknown
3317170,Neon Knives,9.99,"Two of you do not belong. Neon Knives is an award-winning couch multiplayer game of stealth and deception. Blend into the crowd, hunt down your opponent, and take them out—all while being hunted yourself. Trust no one.","Action, Casual, Indie",Cookiecrayon
3317180,Tomomon - Maskar Pack,,"This downloadable content is a cosmetic change for the protagonists of the game, Kai and Elise.","Adventure, Indie, RPG, Strategy, Free To Play",Unknown
3316190,Project Neon,,You are the Sheriff and you are going to kick some ass to protect the city. Find your right gun if you want stay alive. An Isometric shooter game with narrative story and quests. (Trailer Song: Smoke Rising-CreatorMix.com),"Action, Adventure, Indie",CrunchBoy
3316200,Interactive Sex - Naughty Stepsisters,2.49,A simple interactive sex game with juicy animations and graphics. Choose from various sex styles and positions and do you best to make the girls cum while watching out for your stamina.,"Casual, Indie, Simulation",EroticGamesClub
3316210,梧州旅行家,,"This game is a city travel game with a 3D simulation of walking and flying as its theme. The game features high-quality city scenes and a controllable weather system, providing perfect visual effects for players.","Casual, Free To Play",zhongjiayi
3316260,Zeepkist - BOBO Tires DLC,4.99,"The Bobo Tires Zeepkist DLC features 9 exclusive new wheels and 3 exclusive new zeepkists! The wheels come in 3 variants with 64 colors each, for a total of over 1700 wheels. The 3 new zeepkists come in 16 colors each! And there's some cool Bobo glasses and paragliders!","Action, Indie, Racing, Sports",Unknown
3316300,江湖宝鉴 OST,,由AI制作的七首《江湖宝鉴》国风武侠配乐，敬请鉴赏。,Free To Play,电子奇谭
3316320,N.R.V Demo,,,Unknown,Arisk Studio
3316330,Undead Hunter Part I,3.49,"Undead Hunter is a realistic first-person shooter with a dark and scary atmosphere, created on the Unreal Engine 5. Take up arms and go destroy the undead. From the dead to werewolves and demons. Go to forests and abandoned cities and clear the places from the undead. Can you defeat them all?","Action, Indie",Fireplay Studio
3316340,The Haunted Keepsake,1.99,"Step into The Haunted Keepsake, a first-person horror game where you investigate an abandoned farmhouse plagued by a dark, vengeful presence. Uncover chilling secrets of a family tragedy, break a curse tied to a haunted doll, and survive the spirits haunting the grounds.","Adventure, Indie",Hazard Digital
3316360,Zombie Pandemia 2D,,"♠ As you follow different protagonists, ♣ Each with their own story of loss, resilience, and the brutal realities of a world torn apart, ♥ You’ll uncover their journeys and sacrifices, ♦ Facing the daunting choice to fight, hide, or endure whatever lies ahead.","Action, Casual, Indie, Free To Play",SpaceGhostTriFF
3316390,We Are Square,1.99,WARNING: This game will destroy friendships. In We Are Square you and up to seven friends must work together to control one square and platform yourselves to the goal.,Indie,Inanimate Ink
3316400,Blitz,,"Blitz is a challenging, fast-paced platformer with infinite procedurally generated levels. Build a new unique character each run and fight one action-packed room after another! Dropkick, decapitate, and incinerate your foes. Do you have what it takes to conquer Blitz?","Action, Adventure",Ice Dagger Studios
3316410,Otherwise,3.99,Welcome to a unique world!&quot;Otherwise&quot; is an exciting survival game filled with secrets and dangers.Here you can explore mysterious locations and encounter many monsters living in this universe.Do your best and get out of the depths of darkness!,"Adventure, Indie",MonstrCorp
3316420,버튜버 파라노이아 - Vtuber Paranoia : 아트북,8.99,Vtuber Paranoia's all-in-one digital art book,"Casual, Indie, Simulation",Unknown
3316430,Unpatterned Cut,,"Unpatterned Cut is a VR action-reflex game where you have to finish the episodes by killing enemies to survive in the simulation and maybe save your loved ones. Also, push yourself on scores and climb the leaderboard rankings against other players.",Action,Vnow Games
3316440,Chubby Story Demo,,,Unknown,WPT NSFW
3316450,Olympia: Festival of the Gods,,Olympia: Festival of the Gods is a digital board game where players collect tokens in order to perform rituals to honor the Gods of Ancient Greece!,"Casual, Strategy, Free To Play",Alien Shores
3316460,Dreamwalker Playtest,,,Unknown,Unknown
3316470,DEAD TRASH,,"Years into a brutal lockdown, a once-thriving city lies in ruins, abandoned by its government and overrun by vicious, mindless infected. Grab your hammer, collect your nerves and enter the mayhem.",Action,DOSMan Games
3316490,BATTLERCORE: TEAM BLAZER Demo,,"Battlercore: Team Blazer is an action-strategy game with a variety of mechs. It features a dynamic campaign mode with open missions allowing players to choose their playstyle and story progression. Players will encounter events on the world map, which will determine the game's destination.",Unknown,SCARLET-G
3316510,Just A Village Clicker,4.99,Just a Village Clicker is a game where you collect resources to rebuild your village and help your villagers with their tasks. Improve your village and combat stats with over 50 upgrades available! Advance through the dungeon floors and defeat powerful enemies!&quot;,"Casual, Indie, Strategy",Ankouz Studios
3316520,Psychopomp OST Vol. 1 + 2,7.79,The full soundtrack. Both Volumes.  Music to travel into the depths with.,Unknown,Unknown
3316540,Nubby's Number Factory Demo,,"A plinko-style roguelike where you work at a number factory. Launch your spherical friend, Nubby, down a pegboard to make bigger and bigger numbers! But beware, if you fail to meet your number quota, the sun will explode.",Strategy,MogDogBlog Productions
